sn,resp_id,site,fokontany,main_house_rm,house_qlty,tlu,food_sec,type_light,light_sufficiency,mplayer_num,irrigated_rice,education
372,SAH017,Sahavazina,Sahavazina,1,1,1.46,7,1,1,0,1,0
373,SAH018,Sahavazina,Sahavazina,1,1,0.75,7,2,0,0,0,0
374,SAH019,Sahavazina,Sahavazina,1,1,0.01,4,2,1,0,0,0
375,SAH020,Sahavazina,Sahavazina,1,1,0.05,7,2,2,1,1,0
376,SAH021,Sahavazina,Sahavazina,1,1,0.7,6,2,0,0,0,0
377,SAH022,Sahavazina,Sahavazina,1,1,0.05,7,2,2,0,0,0
378,SAH023,Sahavazina,Sahavazina,1,1,0.03,4,2,1,0,1,0
380,SAH025,Sahavazina,Sahavazina,1,1,0.02,5,1,0,1,0,0
381,SAH026,Sahavazina,Sahavazina,1,1,1.44,3,2,0,0,0,0
383,SAH028,Sahavazina,Sahavazina,1,1,0,3,1,0,0,0,0
385,SAH030,Sahavazina,Sahavazina,1,1,0.02,4,1,2,0,0,0
386,SAH031,Sahavazina,Sahavazina,1,1,0,NA,1,0,0,1,0
388,SAH033,Sahavazina,Sahavazina,1,1,0.03,4,1,0,0,1,0
389,SAH034,Sahavazina,Sahavazina,1,1,0,9,1,1,0,0,0
390,SAH035,Sahavazina,Sahavazina,1,1,0.03,10,1,2,1,1,0
391,SAH036,Sahavazina,Sahavazina,1,1,0.02,8,2,2,1,1,0
392,SAH037,Sahavazina,Sahavazina,1,1,0.11,10,1,2,0,1,0
393,SAH038,Sahavazina,Sahavazina,1,1,0.04,10,1,2,0,1,0
396,SAH041,Sahavazina,Sahavazina,1,1,0.05,9,1,2,1,0,0
397,SAH042,Sahavazina,Sahavazina,1,1,0.71,11,1,2,1,1,0
399,SAH044,Sahavazina,Sahavazina,1,1,0,8,1,0,0,0,0
400,SAH045,Sahavazina,Sahavazina,1,1,0.01,8,0,0,0,0,0
404,SAH049,Sahavazina,Sahavazina,1,1,0.82,4,0,2,0,1,0
406,SAH051,Sahavazina,Sahavazina,1,1,0,6,1,0,0,1,0
409,SAH054,Sahavazina,Sahavazina,1,1,0.04,6,1,2,0,1,0
410,SAH055,Sahavazina,Sahavazina,1,1,0.04,2,0,2,0,0,0
411,SAH056,Sahavazina,Sahavazina,1,1,0,6,1,0,0,1,0
412,SAH057,Sahavazina,Sahavazina,1,1,1.42,6,1,0,0,0,0
414,SAH059,Sahavazina,Sahavazina,1,1,0.04,7,1,1,0,1,0
415,SAH060,Sahavazina,Sahavazina,1,1,0.09,2,1,0,0,1,0
416,SAH061,Sahavazina,Sahavazina,1,1,0.03,6,1,0,0,0,0
417,SAH062,Sahavazina,Sahavazina,1,1,0,3,1,0,0,0,0
418,SAH063,Sahavazina,Sahavazina,1,1,0,1,1,0,0,0,0
419,SAH064,Sahavazina,Sahavazina,1,1,0.12,3,1,0,0,1,0
420,SAH065,Sahavazina,Sahavazina,1,1,0.03,3,1,2,0,1,0
428,SAH073,Sahavazina,Sahavazina,1,1,0.93,6,1,0,0,0,0
429,SAH074,Sahavazina,Sahavazina,1,1,0.06,4,1,0,0,1,0
430,SAH075,Sahavazina,Sahavazina,1,1,0,6,1,0,0,0,0
431,SAH076,Sahavazina,Sahavazina,1,1,0.05,5,1,0,0,0,0
432,SAH077,Sahavazina,Sahavazina,1,1,0,7,1,0,0,0,0
433,SAH078,Sahavazina,Sahavazina,1,1,0.03,10,1,2,1,1,0
435,SAH080,Sahavazina,Sahavazina,1,1,0.05,11,1,2,0,1,0
436,SAH081,Sahavazina,Sahavazina,1,1,0.79,10,1,2,0,1,0
439,SAH084,Sahavazina,Sahavazina,1,1,0.13,9,1,0,0,1,0
442,SAH087,Sahavazina,Sahavazina,1,1,0,9,1,0,0,1,0
443,SAH088,Sahavazina,Sahavazina,1,1,0.8,3,1,0,1,1,0
444,SAH089,Sahavazina,Sahavazina,1,1,0.01,3,1,0,1,0,0
445,SAH090,Sahavazina,Sahavazina,1,1,0.01,1,1,0,1,1,0
446,SAH091,Sahavazina,Sahavazina,1,1,0,1,1,0,0,0,0
447,SAH092,Sahavazina,Sahavazina,1,1,0.15,12,1,2,0,1,0
449,SAH094,Sahavazina,Sahavazina,1,1,1.51,9,1,1,0,1,0
450,SAH095,Sahavazina,Sahavazina,1,1,0.11,10,1,2,0,1,0
451,VBA001,Mantadia,Vohibazaha,1,1,0.03,4,1,0,1,0,0
452,VBA002,Mantadia,Vohibazaha,1,1,0,10,0,0,0,0,0
453,VBA003,Mantadia,Vohibazaha,1,1,0.05,5,1,0,0,0,0
454,VBA004,Mantadia,Vohibazaha,1,1,0.05,4,1,0,0,0,0
455,VBA005,Mantadia,Vohibazaha,1,1,0.05,5,1,0,1,0,0
456,VBA006,Mantadia,Vohibazaha,1,1,0.1,4,1,0,0,0,0
457,VBA007,Mantadia,Vohibazaha,1,1,0.06,6,1,0,0,0,0
458,VBA008,Mantadia,Vohibazaha,1,1,0.01,5,1,0,0,0,0
459,VBA009,Mantadia,Vohibazaha,1,1,0.05,5,1,0,0,0,0
460,VBA010,Mantadia,Vohibazaha,1,1,0.05,5,1,0,0,0,0
461,VBA011,Mantadia,Vohibazaha,1,1,0.05,6,0,0,0,0,0
462,VBA012,Mantadia,Vohibazaha,1,1,1.36,7,1,0,0,0,0
463,VBA013,Mantadia,Vohibazaha,1,1,2.05,2,0,0,0,0,0
464,VBA014,Mantadia,Vohibazaha,1,1,0.04,2,1,0,0,0,0
465,VBA015,Mantadia,Vohibazaha,1,1,0.03,2,1,0,0,0,0
466,VBA016,Mantadia,Vohibazaha,1,1,0.05,3,1,0,0,0,0
468,VBA018,Mantadia,Vohibazaha,1,1,0.31,5,1,0,0,0,0
471,VBA021,Mantadia,Vohibazaha,1,1,0.02,12,1,1,0,0,0
473,VBA023,Mantadia,Vohibazaha,1,1,0.03,10,1,2,0,1,0
482,VBA032,Mantadia,Vohibazaha,1,1,0.01,12,1,2,0,1,0
483,VBA033,Mantadia,Vohibazaha,1,1,0.02,6,1,2,0,0,0
484,VBA034,Mantadia,Vohibazaha,1,1,0.02,6,1,2,0,0,0
486,VBA036,Mantadia,Vohibazaha,1,1,0.08,10,1,2,0,0,0
488,VBA038,Mantadia,Vohibazaha,1,1,2.2,8,1,0,0,0,0
491,VBA041,Mantadia,Vohibazaha,1,1,0.1,5,1,0,0,0,0
492,VBA042,Mantadia,Vohibazaha,1,1,0.02,7,1,2,0,1,0
508,VVE001,Mantadia,Volove,1,1,0.15,7,1,2,1,0,0
509,VVE002,Mantadia,Volove,1,1,0,4,0,0,0,0,0
510,VVE003,Mantadia,Volove,1,1,0.13,5,1,0,0,0,0
511,VVE004,Mantadia,Volove,1,1,0.05,6,1,1,0,0,0
512,VVE005,Mantadia,Volove,1,1,0.27,9,1,1,0,0,0
514,VVE007,Mantadia,Volove,1,1,0.05,5,1,0,0,0,0
515,VVE008,Mantadia,Volove,1,1,0.3,8,1,0,0,0,0
516,VVE009,Mantadia,Volove,1,1,0.09,7,1,1,1,1,0
519,VVE012,Mantadia,Volove,1,1,0.07,7,1,0,0,0,0
521,VVE014,Mantadia,Volove,1,1,4.24,12,1,0,0,0,0
522,VVE015,Mantadia,Volove,1,1,0,10,1,2,0,0,0
526,VVE019,Mantadia,Volove,1,1,0.05,8,1,2,0,0,0
527,VVE020,Mantadia,Volove,1,1,0.06,8,1,2,0,0,0
531,VVE024,Mantadia,Volove,1,1,0.05,4,1,1,0,0,0
534,VVE027,Mantadia,Volove,1,1,0.03,12,1,2,0,0,0
535,VVE028,Mantadia,Volove,1,1,0.04,9,1,2,0,0,0
536,VVE029,Mantadia,Volove,1,1,0.05,12,1,2,0,0,0
540,VVE033,Mantadia,Volove,1,1,0.14,7,1,2,0,0,0
